id_muestra,titulo,anio_estreno,generos,pais_principal,idioma,popularidad,promedio_votos,votos
1397163,Mobile Suit Gundam GQuuuuuuX -Beginning-,2025,Animacion,Japon,Japones,10.246,8.0,4
1397163,Mobile Suit Gundam GQuuuuuuX -Beginning-,2025,Accion,Japon,Japones,10.246,8.0,4
1397163,Mobile Suit Gundam GQuuuuuuX -Beginning-,2025,Ciencia Ficcion,Japon,Japones,10.246,8.0,4
1397163,Mobile Suit Gundam GQuuuuuuX -Beginning-,2025,Drama,Japon,Japones,10.246,8.0,4
1426408,Larissa: The Other Side of Anitta,2025,Documental,Brasil,Portugues,10.178,0.0,0
1419826,The World Will Tremble,2025,Drama,Estados Unidos,Ingles,10.155,0.0,0
1419826,The World Will Tremble,2025,Guerra,Estados Unidos,Ingles,10.155,0.0,0
1066371,Aapp Kaise Ho,2025,Drama,Sin informacion,Malayalam,10.118,0.0,0
1066371,Aapp Kaise Ho,2025,Comedia,Sin informacion,Malayalam,10.118,0.0,0
1225624,On Falling,2025,Drama,Portugal,Ingles,10.116,4.0,1
1372141,Will You Marry Monk?,2025,Comedia,Tailandia,Tailandes,10.109,0.0,0
1438643,裏垢男子とAV男優とっちかエロい?素顔の美谷朱音を2人きりの空間てイカせまくる本気の生々ハメ撮り中出し,2025,Documental,Japon,Japones,10.083,0.0,0
1219555,Wunderschoner,2025,Comedia,Alemania,Aleman,10.08,8.9,7
1219555,Wunderschoner,2025,Drama,Alemania,Aleman,10.08,8.9,7
1219555,Wunderschoner,2025,Romance,Alemania,Aleman,10.08,8.9,7
1086497,The Penguin Lessons,2025,Drama,Espana,Ingles,10.059,0.0,0
1196942,Mere Husband Ki Biwi,2025,Drama,India,Hindi,10.055,10.0,1
1196942,Mere Husband Ki Biwi,2025,Comedia,India,Hindi,10.055,10.0,1
1293285,Guns of Redemption,2025,Western,Estados Unidos,Ingles,10.045,0.0,0
1434358,Brothers After War,2025,Documental,Sin informacion,Ingles,10.034,0.0,0
1434358,Brothers After War,2025,Guerra,Sin informacion,Ingles,10.034,0.0,0
1275913,Jan Uuspold Goes Home,2025,Comedia,Estonia,et,9.968,6.0,1
1390776,F Friendship,2025,Drama,Sin informacion,Ingles,9.952,0.0,0
1427223,Unholy Song,2025,Terror,Estados Unidos,Ingles,9.944,0.0,0
1428753,WTO/99,2025,Sin informacion,Sin informacion,Ingles,9.923,0.0,0
1282165,Where Do We Begin,2025,Drama,Polonia,Polaco,9.918,0.0,0
1269941,The Unholy 2,2025,Accion,Indonesia,Indonesio,9.884,0.0,0
1269941,The Unholy 2,2025,Drama,Indonesia,Indonesio,9.884,0.0,0
1269941,The Unholy 2,2025,Fantasia,Indonesia,Indonesio,9.884,0.0,0
1269941,The Unholy 2,2025,Terror,Indonesia,Indonesio,9.884,0.0,0
1269941,The Unholy 2,2025,Suspenso,Indonesia,Indonesio,9.884,0.0,0
1008445,The Poet,2025,Romance,Rusia,Ruso,9.875,8.3,3
1008445,The Poet,2025,Musica,Rusia,Ruso,9.875,8.3,3
1171153,Koln 75,2025,Drama,Belgica,Aleman,9.854,0.0,0
1054867,One Battle After Another,2025,Accion,Estados Unidos,Ingles,9.851,0.0,0
1054867,One Battle After Another,2025,Comedia,Estados Unidos,Ingles,9.851,0.0,0
